title,make,model,trim ,year,mileagekm,location,fueltype,registeredcity,color,enginecapacitycc,assembly,automatic,pricePKR
Honda Civic Oriel 1.8 i-VTEC CVT 2018,Honda,Civic,Oriel 1.8 i-VTEC CVT ,2018,33000,,Petrol,Lahore,Black,1800,,Automatic,387500
Suzuki Alto ECO-L 2013,Suzuki,Alto,ECO-L    ,2013,100000,,Petrol,Islamabad,Blue,660,Imported,Automatic,147500
Proton Saga 1.3L Standard M/T 2021,Proton,Saga,1.3L Standard M/T  ,2021,4000,,Petrol,Islamabad,White,1300,Imported,,235000
Toyota Fortuner 2.8 Sigma 4 2021,Toyota,Fortuner,2.8 Sigma 4  ,2021,15500,,,Lahore,Black,2800,,Automatic,11100000
Suzuki Mehran VX Euro II 2016,Suzuki,Mehran,VX Euro II  ,2016,74000,,Petrol,Punjab,Grey,800,,,85000
Honda Civic VTi 1.8 i-VTEC 2014,Honda,Civic,VTi 1.8 i-VTEC  ,2014,200000,,Petrol,Islamabad,White,1800,,,245000
Toyota Corolla Altis Grande CVT-i 1.8 2015,Toyota,Corolla,Altis Grande CVT-i 1.8 ,2015,95000,,Petrol,Islamabad,Grey,1800,,Automatic,290000
Audi e-tron 50 Quattro 230 kW 2022,Audi,e-tron,50 Quattro 230 kW ,2022,50,96 FeroazPur road Ichra Lahore,,Un-Registered,White,,,Automatic,18500000
Honda City 1.3 i-VTEC 2017,Honda,City,1.3 i-VTEC   ,2017,72000,,Petrol,Islamabad,Black,1300,,,265000
KIA Sportage AWD 2021,KIA,Sportage,AWD    ,2021,7500,"New M.A jinnah road, karachi, sindh, pakistan",Petrol,Un-Registered,White,2000,,Automatic,565000
Suzuki Alto VXR 2021,Suzuki,Alto,VXR    ,2021,5300,,Petrol,Multan,White,660,,,182500
Suzuki Wagon R Hybrid FZ 2018,Suzuki,Wagon,R Hybrid FZ  ,2018,48000,Hockey Stadium Near Gourmet Bakery,,Islamabad,Silver,660,Imported,Automatic,265000
Toyota Prado TX 2.7 2003,Toyota,Prado,TX 2.7   ,2003,125000,Main Boulevard DHA Lahore,Petrol,Lahore,Silver,2700,Imported,Automatic,580000
Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,Civic,Oriel 1.8 i-VTEC CVT ,2021,4500,,Petrol,Islamabad,White,1800,,Automatic,477000
Suzuki Liana LXi 2007,Suzuki,Liana,LXi    ,2007,147000,,Petrol,Karachi,White,1300,,,83500
Toyota Vitz F 1.0 2018,Toyota,Vitz,F 1   ,2018,38000,Hockey Stadium Near Gourmet Bakery,Petrol,Lahore,White,1000,,Automatic,275000
Toyota Corolla SE Saloon Automatic 2004,Toyota,Corolla,SE Saloon Automatic  ,2004,186000,Husaini chowk Ranger market hasil pur road,Petrol,Karachi,White,1600,,Automatic,120000
